Algoritmos e Lógica de Programação
Análise Espacial e Modelagem em Terrenos
Aprendizagem de Máquina
Águas Subterrâneas
Álgebra Linear
Álgebra Linear e Geometria Analítica
Avaliação de Impactos Ambientais e Análise de Risco
Banco de Dados - Não Relacional
Banco de Dados Geográficos
Banco de Dados – Relacional
Biologia
Cálculo
Cadastro Técnico Multifinalitário
Cartografia
Cartografia Aplicada
Cartografia, Topografia e Batimetria
Ciências Ambientais e das Águas
Climatologia e Meteorologia
Computação em Nuvem I
Computação em Nuvem II
Controle e Monitoramento da Poluição Atmosférica e Sonora
Desenho Técnico
Design Digital
Desenvolvimento Web I
Desenvolvimento Web II
Desenvolvimento Web III
Ecologia
Ecotecnologia
Educação Ambiental
Engenharia de Software I
Engenharia de Software II
Energia Alternativas
Estatística
Estatística Aplicada
Estrutura de Dados
Experiência do Usuário
Físico Química Aplicada à Gestão Ambiental
Fotogrametria Analógica e Digital
Fundamentos da Comunicação Empresarial
Fundamentos da Redação Técnica
Fundamentos de Física
Fundamentos de Gestão Empresarial
Fundamentos de Óptica
Geociência Ambiental
Geodesia
Geoprocessamento
Geoprocessamento Aplicado a Análises Ambientais
Geoprocessamento Aplicado à Infraestrutura Urbana
Geoprocessamento e Sistemas de Informação Geográfica
Georreferenciamento de Imóveis Rurais
Geomarketing
Gestão Ágil de Projetos de Software
Gestão da Qualidade
Hidráulica Fluvial
Hidrologia e Recursos Hídricos
Inglês I
Inglês II
Inglês III
Inglês IV
Interação Humano Computador
Integração e Análise de Dados Territoriais
Integração e Entrega Contínua
Introdução à Ciência da Geoinformação
Internet das Coisas e Aplicações
Laboratório de Des. Multiplataforma
Laboratório de Desenvolvimento Web
Lab. de Des. para Dispositivos Móveis
Legislação Ambiental
Limnologia
Linguagem de Programação I
Linguagem de Programação II
Matemática Aplicada
Matemática para Computação
Metodologia da Pesquisa Científico-Tecnológica
Microbiologia Ambiental
Mineração de Dados
Modelagem de Banco de Dados
Modelagem de Banco de Dados Espacial
Padrões de Distribuição de Informações em SIG
Planejamento e Conservação Ambiental
Planejamento e Drenagem Urbana
Planejamento Integrado de Bacias Hidrográficas
Posicionamento por Satélite
Processamento de Linguagem Natural
Processamento Digital de Imagens
Programação para Dispositivos Móveis I
Programação para Dispositivos Móveis II
Projetos Ambientais I
Projetos Ambientais II
Projetos em Geoprocessamento
Projetos em Geoprocessamento II
Projeto de Sistemas de Informação Geográfica
Qualidade e Testes de Software
Química Geral
Restauração Ecológica
Revitalização de Rios e Recuperação de Áreas Degradadas
Saneamento Ambiental I
Saneamento Ambiental II
Saúde e Segurança Ocupacional
Segurança no Des. de Aplicações
Sensoriamento Remoto e Clima
Sensoriamento Remoto e Geoprocessamento
Sensoriamento Remoto e Interpretação
Sistemas de Gestão e Auditorias Ambientais
Sistemas Operacionais e Redes de Comp.
Sociologia Ambiental
Tecnologias WEB Aplicadas a Sistemas de Informação Geográfica
Técnicas de Programação I
Técnicas de Programação II
Topografia e Batimetria
Turismo, Meio Ambiente e Recursos Hídricos
Uso e Conservação dos Solos
Ética Profissional e Patente
