2 MARH;20:25:00-21:25:00;Lab. de Microbiologia Ambiental 03;Quarta-feira;Físico Química Aplicada à Gestão Ambiental;Prof. Dr. Jorge Tadao Matsushima
2 MARH;21:25:00-22:15:00;Lab. de Microbiologia Ambiental 03;Quarta-feira;Cartografia, Topografia e Batimetria;Prof. Me. Adilson Rodolfo Neves
2 MARH;22:15:00-23:05:00;Lab. de Microbiologia Ambiental 03;Quarta-feira;Cartografia, Topografia e Batimetria;Prof. Me. Adilson Rodolfo Neves
2 MARH;19:35:00-20:25:00;Lab. de Microbiologia Ambiental 03;Quinta-feira;Ecologia;Profa. Dra. Vivian Hyodo
2 MARH;20:25:00-21:25:00;Lab. de Microbiologia Ambiental 03;Quinta-feira;Ecologia;Profa. Dra. Vivian Hyodo
2 MARH;21:25:00-22:15:00;Lab. de Microbiologia Ambiental 03;Quinta-feira;Climatologia e Meteorologia;Profa. Dra. Rita de Cássia von Randow
2 MARH;22:15:00-23:05:00;Lab. de Microbiologia Ambiental 03;Quinta-feira;Climatologia e Meteorologia;Profa. Dra. Rita de Cássia von Randow
2 MARH;18:45:00-19:35:00;Lab. de Microbiologia Ambiental 03;Sexta-feira;Hidrologia e Recursos Hídricos;Profa. Dra. Rita de Cássia von Randow
2 MARH;19:35:00-20:25:00;Lab. de Microbiologia Ambiental 03;Sexta-feira;Hidrologia e Recursos Hídricos;Profa. Dra. Rita de Cássia von Randow
2 MARH;20:25:00-21:25:00;Lab. de Microbiologia Ambiental 03;Sexta-feira;Hidrologia e Recursos Hídricos;Profa. Dra. Rita de Cássia von Randow
2 MARH;21:25:00-22:15:00;Lab. de Microbiologia Ambiental 03;Sexta-feira;Ecologia;Profa. Dra. Vivian Hyodo
2 MARH;22:15:00-23:05:00;Lab. de Microbiologia Ambiental 03;Sexta-feira;Ecologia;Profa. Dra. Vivian Hyodo
3 MARH;18:45:00-19:35:00;Lab. de Química Ambiental 01;Segunda-feira;Hidráulica Fluvial;Prof. Me. Paulo José Maria Filho
3 MARH;19:35:00-20:25:00;Lab. de Química Ambiental 01;Segunda-feira;Estatística;Prof. Dr. Renato Mortin
3 MARH;20:25:00-21:25:00;Lab. de Química Ambiental 01;Segunda-feira;Estatística;Prof. Dr. Renato Mortin
3 MARH;21:25:00-22:15:00;Lab. de Química Ambiental 01;Segunda-feira;Estatística;Prof. Dr. Renato Mortin
3 MARH;22:15:00-23:05:00;Lab. de Química Ambiental 01;Segunda-feira;Estatística;Prof. Dr. Renato Mortin
3 MARH;18:45:00-19:35:00;Lab. de Química Ambiental 01;Terça-feira;Gestão da Qualidade;Prof. Dr. Renato Mortin
3 MARH;19:35:00-20:25:00;Lab. de Química Ambiental 01;Terça-feira;Gestão da Qualidade;Prof. Dr. Renato Mortin
3 MARH;20:25:00-21:25:00;Lab. de Química Ambiental 01;Terça-feira;Limnologia;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;21:25:00-22:15:00;Lab. de Química Ambiental 01;Terça-feira;Inglês III;Profa. Dra. Nanci de Oliveira
3 MARH;22:15:00-23:05:00;Lab. de Química Ambiental 01;Terça-feira;Inglês III;Profa. Dra. Nanci de Oliveira
3 MARH;18:45:00-19:35:00;Lab. de Química Ambiental 01;Quarta-feira;Saneamento Ambiental I;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;19:35:00-20:25:00;Lab. de Química Ambiental 01;Quarta-feira;Saneamento Ambiental I;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;20:25:00-21:25:00;Lab. de Química Ambiental 01;Quarta-feira;Limnologia;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;21:25:00-22:15:00;Lab. de Química Ambiental 01;Quarta-feira;Limnologia;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;22:15:00-23:05:00;Lab. de Química Ambiental 01;Quarta-feira;Limnologia;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;18:45:00-19:35:00;Lab. de Química Ambiental 01;Quinta-feira;Hidráulica Fluvial;Prof. Me. Paulo José Maria Filho
3 MARH;19:35:00-20:25:00;Lab. de Química Ambiental 01;Quinta-feira;Hidráulica Fluvial;Prof. Me. Paulo José Maria Filho
3 MARH;20:25:00-21:25:00;Lab. de Química Ambiental 01;Quinta-feira;Hidráulica Fluvial;Prof. Me. Paulo José Maria Filho
3 MARH;21:25:00-22:15:00;Lab. de Química Ambiental 01;Quinta-feira;Saneamento Ambiental I;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;22:15:00-23:05:00;Lab. de Química Ambiental 01;Quinta-feira;Saneamento Ambiental I;Profa. Dra. Vivian C.C.C. Hyodo
3 MARH;19:35:00-20:25:00;Lab. de Química Ambiental 01;Sexta-feira;Planejamento e Conservação Ambiental;Prof. Me. Gerson Freitas Júnior
3 MARH;20:25:00-21:25:00;Lab. de Química Ambiental 01;Sexta-feira;Planejamento e Conservação Ambiental;Prof. Me. Gerson Freitas Júnior
3 MARH;21:25:00-22:15:00;Lab. de Química Ambiental 01;Sexta-feira;IPDI;Prof. Dr. Daniel
3 MARH;22:15:00-23:05:00;Lab. de Química Ambiental 01;Sexta-feira;IPDI;Prof. Dr. Daniel
5 MARH;09:20:00-10:10:00;Lab. de Química Ambiental 01;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
5 MARH;10:10:00-11:00:00;Lab. de Química Ambiental 01;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
5 MARH;11:10:00-12:00:00;Lab. de Química Ambiental 01;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
5 MARH;12:00:00-12:50:00;Lab. de Química Ambiental 01;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
5 MARH;07:30:00-08:20:00;Lab. de Química Ambiental 01;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;08:20:00-09:10:00;Lab. de Química Ambiental 01;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;09:20:00-10:10:00;Lab. de Química Ambiental 01;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;10:10:00-11:00:00;Lab. de Química Ambiental 01;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;11:10:00-12:00:00;Lab. de Química Ambiental 01;Terça-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;12:00:00-12:50:00;Lab. de Química Ambiental 01;Terça-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;09:20:00-10:10:00;Lab. de Química Ambiental 01;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
5 MARH;10:10:00-11:00:00;Lab. de Química Ambiental 01;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
5 MARH;11:10:00-12:00:00;Lab. de Química Ambiental 01;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
5 MARH;12:00:00-12:50:00;Lab. de Química Ambiental 01;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
5 MARH;07:30:00-08:20:00;Lab. de Química Ambiental 01;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
5 MARH;08:20:00-09:10:00;Lab. de Química Ambiental 01;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
5 MARH;09:20:00-10:10:00;Lab. de Química Ambiental 01;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
5 MARH;10:10:00-11:00:00;Lab. de Química Ambiental 01;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
5 MARH;11:10:00-12:00:00;Lab. de Química Ambiental 01;Quinta-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
5 MARH;12:00:00-12:50:00;Lab. de Química Ambiental 01;Quinta-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;09:20:00-10:10:00;Lab. de Análises Ambientais 04;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
6 MARH;10:10:00-11:00:00;Lab. de Análises Ambientais 04;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
6 MARH;11:10:00-12:00:00;Lab. de Análises Ambientais 04;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
6 MARH;12:00:00-12:50:00;Lab. de Análises Ambientais 04;Segunda-feira;Projetos Ambientais II;Prof. Me. Paulo José Maria Filho
6 MARH;07:30:00-08:20:00;Lab. de Análises Ambientais 04;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;08:20:00-09:10:00;Lab. de Análises Ambientais 04;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;09:20:00-10:10:00;Lab. de Análises Ambientais 04;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;10:10:00-11:00:00;Lab. de Análises Ambientais 04;Terça-feira;Revitalização de Rios e Recuperação de Áreas Degradadas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;11:10:00-12:00:00;Lab. de Análises Ambientais 04;Terça-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;12:00:00-12:50:00;Lab. de Análises Ambientais 04;Terça-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;09:20:00-10:10:00;Lab. de Análises Ambientais 04;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
6 MARH;10:10:00-11:00:00;Lab. de Análises Ambientais 04;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
6 MARH;11:10:00-12:00:00;Lab. de Análises Ambientais 04;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
6 MARH;12:00:00-12:50:00;Lab. de Análises Ambientais 04;Quarta-feira;Turismo; Meio Ambiente e Recursos Hídricos;Profa. MSc. Fernanda da Silveira Bueno
6 MARH;07:30:00-08:20:00;Lab. de Análises Ambientais 04;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
6 MARH;08:20:00-09:10:00;Lab. de Análises Ambientais 04;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
6 MARH;09:20:00-10:10:00;Lab. de Análises Ambientais 04;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
6 MARH;10:10:00-11:00:00;Lab. de Análises Ambientais 04;Quinta-feira;Energia Alternativas;Prof. Dr. Renato Mortin
6 MARH;11:10:00-12:00:00;Lab. de Análises Ambientais 04;Quinta-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar
6 MARH;12:00:00-12:50:00;Lab. de Análises Ambientais 04;Quinta-feira;Planejamento Integrado de Bacias Hidrográficas;Prof. MSc. Luiz Sérgio Gonçalves Aguiar

